normDistAlong	normRI	fraction
0.1625	1.85	0.012798052
0.1625	1.95	0.010179431
0.1625	2.05	0.0085013
0.1625	2.15	0.0058642374
0.1625	2.25	0.0034853485
0.1625	2.35	0.0024157707
0.1625	2.45	0.0015121618
0.1625	2.55	0.0011249009
0.1625	2.65	0.0010880189
0.1625	2.75	5.1634794E-4
0.1625	2.85	3.8726095E-4
0.1625	2.95	2.9505597E-4
0.1625	3.05	2.3973298E-4
0.1625	3.15	5.5322995E-5
0.1625	3.25	7.376399E-5
0.1625	3.35	9.220499E-5
0.1625	3.45	1.4752799E-4
0.1625	3.55	9.220499E-5
0.1625	3.65	1.8440998E-5
0.1625	3.75	1.8440998E-5
0.1625	3.85	0.0
0.1625	3.95	0.0
0.1625	4.05	0.0
0.1625	4.15	0.0
0.1625	4.25	1.8440998E-5
0.1625	4.35	0.0
0.1625	4.45	0.0
0.1625	4.55	0.0
0.1625	4.65	1.8440998E-5
0.1625	4.75	0.0
0.1625	4.85	0.0
0.1625	4.95	0.0
0.1875	0.05	0.08902637
0.1875	0.15	0.0070728785
0.1875	0.25	0.009337513
0.1875	0.35	0.012307793
0.1875	0.45	0.018002199
0.1875	0.55	0.030195119
0.1875	0.65	0.049805537
0.1875	0.75	0.07108981
0.1875	0.85	0.08940381
0.1875	0.95	0.10783268
0.1875	1.05	0.11720301
0.1875	1.15	0.0990203
0.1875	1.25	0.082150415
0.1875	1.35	0.060587164
0.1875	1.45	0.043503948
0.1875	1.55	0.030933587
0.1875	1.65	0.022055566
0.1875	1.75	0.016443212
0.1875	1.85	0.012767284
0.1875	1.95	0.008795969
0.1875	2.05	0.0071549304
0.1875	2.15	0.004988759
0.1875	2.25	0.0036595173
0.1875	2.35	0.0021497612
0.1875	2.45	0.0011159066
0.1875	2.55	9.682131E-4
0.1875	2.65	7.876988E-4
0.1875	2.75	3.77439E-4
0.1875	2.85	2.2974548E-4
0.1875	2.95	1.6410391E-4
0.1875	3.05	2.4615586E-4
0.1875	3.15	1.3128313E-4
0.1875	3.25	9.846235E-5
0.1875	3.35	8.2051956E-5
0.1875	3.45	6.5641565E-5
0.1875	3.55	6.5641565E-5
0.1875	3.65	6.5641565E-5
0.1875	3.75	8.2051956E-5
0.1875	3.85	0.0
0.1875	3.95	1.6410391E-5
0.1875	4.05	0.0
0.1875	4.15	0.0
0.1875	4.25	1.6410391E-5
0.1875	4.35	0.0
0.1875	4.45	0.0
0.1875	4.55	0.0
0.1875	4.65	0.0
0.1875	4.75	0.0
0.1875	4.85	0.0
0.1875	4.95	0.0
0.2125	0.05	0.08551967
0.2125	0.15	0.006387902
0.2125	0.25	0.00914187
0.2125	0.35	0.0120587945
0.2125	0.45	0.01779487
0.2125	0.55	0.02866408
0.2125	0.65	0.049261805
0.2125	0.75	0.06860477
0.2125	0.85	0.0876381
0.2125	0.95	0.10489522
0.2125	1.05	0.115291856
0.2125	1.15	0.100088
0.2125	1.25	0.08159241
0.2125	1.35	0.061760586
0.2125	1.45	0.04699671
0.2125	1.55	0.034856435
0.2125	1.65	0.025486426
0.2125	1.75	0.01779487
0.2125	1.85	0.013346152
0.2125	1.95	0.008734479
0.2125	2.05	0.0071049114
0.2125	2.15	0.0054264576
0.2125	2.25	0.0042531695
0.2125	2.35	0.0025747155
0.2125	2.45	0.0016621582
0.2125	2.55	7.9848774E-4
0.2125	2.65	6.355311E-4
0.2125	2.75	3.7480038E-4
0.2125	2.85	2.7702635E-4
0.2125	2.95	1.9554803E-4
0.2125	3.05	1.1406968E-4
0.2125	3.15	8.147834E-5
0.2125	3.25	2.118437E-4
0.2125	3.35	8.147834E-5
0.2125	3.45	4.8887006E-5
