3.350974 , 0.6366851 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.15
2.9028213 , 0.551536 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.3
2.4782722 , 0.47087172 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.44999999999999996
3.317206 , 0.6302691 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.0
2.8783693 , 0.5468902 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.15
2.5136175 , 0.4775873 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.3
2.1724691 , 0.41276914 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.44999999999999996
2.7612002 , 0.52462804 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.0
2.4057646 , 0.4570953 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.15
2.1244135 , 0.40363857 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.3
1.8666661 , 0.35466656 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),66.6,default,default,0.44999999999999996
2.2051947 , 0.418987 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.0
1.93316 , 0.3673004 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.15
1.7352096 , 0.32968983 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.3
1.560863 , 0.29656395 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , WGCEP-2002 model (Dsr prop to Vs),99.89999999999999,default,default,0.44999999999999996
3.9988008 , 0.7597721 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.0
3.4622517 , 0.6578278 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.15
2.9594104 , 0.562288 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.3
2.5344954 , 0.48155412 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),0.0,default,default,0.44999999999999996
3.442795 , 0.65413105 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.0
2.989647 , 0.5680329 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.15
2.5702066 , 0.48833925 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.3
2.2286923 , 0.42345154 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),33.3,default,default,0.44999999999999996
2.8867896 , 0.54849 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.0
2.5170422 , 0.47823802 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.15
2.1810026 , 0.4143905 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.3
1.9228892 , 0.36534896 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),66.6,default,default,0.44999999999999996
2.330784 , 0.44284895 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.0
2.0444374 , 0.3884431 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.15
1.7917987 , 0.34044176 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.3
1.6170862 , 0.3072464 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Min Rate , Tapered Ends ([Sin(x)]^0.5),99.89999999999999,default,default,0.44999999999999996
4.3000255 , 0.8170048 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),0.0,default,default,0.0
3.740392 , 0.71067446 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),0.0,default,default,0.15
3.202451 , 0.6084657 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),0.0,default,default,0.3
2.681331 , 0.5094529 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),0.0,default,default,0.44999999999999996
3.7440197 , 0.71136373 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),33.3,default,default,0.0
3.2677872 , 0.62087953 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),33.3,default,default,0.15
2.813247 , 0.53451693 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),33.3,default,default,0.3
2.3755279 , 0.4513503 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),33.3,default,default,0.44999999999999996
3.1880143 , 0.6057227 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),66.6,default,default,0.0
2.7951825 , 0.53108466 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),66.6,default,default,0.15
2.4240432 , 0.4605682 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),66.6,default,default,0.3
2.0697248 , 0.39324772 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),66.6,default,default,0.44999999999999996
2.6320086 , 0.50008166 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.0
2.3225777 , 0.44128975 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.15
2.0348392 , 0.38661945 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.3
1.7639219 , 0.33514515 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Characteristic (Dsr=Ds),99.89999999999999,default,default,0.44999999999999996
